,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms,Category
0,ducati,1068.0,10.0,6.0,2018,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,23.0,46.0,qat - losail international circuit,2554654.0,MotoGP
1,ducati,1076.0,9.0,5.0,2018,16.0,172.7,120.2,14.0,andrea dovizioso,12.875862068965517,wet,23.0,94.0,arg - termas de río hondo,2458875.0,MotoGP
2,ducati,1200.0,9.0,11.0,2018,15.0,158.4,110.3,20.0,andrea dovizioso,12.875862068965517,dry,35.0,45.0,ame - circuit of the americas,2525572.0,MotoGP
3,ducati,487.0,12.0,6.0,2018,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,40.0,32.0,ned - tt circuit assen,2476285.0,MotoGP
4,ducati,700.0,3.0,10.0,2018,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,48.0,48.0,ger - sachsenring,2472960.0,MotoGP
5,ducati,636.0,8.0,6.0,2018,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,41.0,44.0,cze - automotodrom brno,2467728.0,MotoGP
6,ducati,530.0,10.0,6.0,2018,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,41.0,57.0,rsm - misano world circuit marco simoncelli,2525426.0,MotoGP
7,ducati,968.0,7.0,10.0,2018,15.0,167.0,116.8,17.0,andrea dovizioso,12.875862068965517,dry,45.0,36.0,ara - motorland aragón,2516597.0,MotoGP
8,ducati,762.0,8.0,6.0,2018,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,35.0,34.0,jpn - twin ring motegi,2599136.0,MotoGP
9,ducati,920.0,10.0,5.0,2018,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,53.0,55.0,mal - sepang international circuit,2443620.0,MotoGP
10,ducati,1068.0,10.0,6.0,2017,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,22.0,96.0,qat - losail international circuit,2340460.0,MotoGP
11,ducati,1200.0,9.0,11.0,2017,15.0,158.4,110.3,20.0,andrea dovizioso,12.875862068965517,dry,40.0,31.0,ame - circuit of the americas,2652828.0,MotoGP
12,ducati,607.0,8.0,6.0,2017,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,41.0,25.0,spa - circuito de jerez,2749740.0,MotoGP
13,ducati,674.0,9.0,5.0,2017,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,37.0,50.0,fra - le mans,2621016.0,MotoGP
14,ducati,1047.0,8.0,6.0,2017,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,54.0,20.0,cat - circuit de barcelona-catalunya,2681518.0,MotoGP
15,ducati,487.0,12.0,6.0,2017,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,wet,25.0,76.0,ned - tt circuit assen,2506476.0,MotoGP
16,ducati,700.0,3.0,10.0,2017,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,26.0,65.0,ger - sachsenring,2479713.0,MotoGP
17,ducati,636.0,8.0,6.0,2017,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,wet,24.0,70.0,cze - automotodrom brno,2679233.0,MotoGP
18,ducati,530.0,10.0,6.0,2017,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,wet,19.0,97.0,rsm - misano world circuit marco simoncelli,3053271.0,MotoGP
19,ducati,968.0,7.0,10.0,2017,15.0,167.0,116.8,17.0,andrea dovizioso,12.875862068965517,dry,40.0,44.0,ara - motorland aragón,2534271.0,MotoGP
20,ducati,762.0,8.0,6.0,2017,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,wet,15.0,97.0,jpn - twin ring motegi,2834236.0,MotoGP
